adobe-source-sans-fonts 3.046-1
python-docopt 0.6.2-11
python-numpy 1.23.4-1
python-pip 22.3-1
python-pyaudio 0.2.12-1
python-pygments 2.13.0-1
python-pynvim 0.4.3-2
python-pyparted 3.12.0-1
python-ueberzug-git 18.1.8.07a7998-1
python-websockets 10.3-1
qt5-3d 5.15.7+kde+r6-1
qt5-base 5.15.7+kde+r167-1
qt5-charts 5.15.7-1
qt5-connectivity 5.15.7+kde+r5-1
qt5-datavis3d 5.15.7-1
qt5-declarative 5.15.7+kde+r18-1
qt5-imageformats 5.15.7+kde+r5-1
qt5-lottie 5.15.7-1
qt5-multimedia 5.15.7+kde+r1-1
qt5-networkauth 5.15.7-1
qt5-quick3d 5.15.7+kde+r1-1
qt5-quicktimeline 5.15.7-1
qt5-remoteobjects 5.15.7-1
qt5-scxml 5.15.7-1
qt5-sensors 5.15.7-1
qt5-serialbus 5.15.7-1
qt5-serialport 5.15.7-1
qt5-svg 5.15.7+kde+r9-1
qt5-tools 5.15.7+kde+r1-1
qt5-translations 5.15.7-1
qt5-virtualkeyboard 5.15.7-1
qt5-webchannel 5.15.7+kde+r3-1
qt5-webengine 5.15.11-2
qt5-websockets 5.15.7+kde+r2-1
qt5-webview 5.15.7-1
qt5-x11extras 5.15.7-1
qt5-xmlpatterns 5.15.7-1
qt6-5compat 6.4.0-3
rate-mirrors-bin 0.11.1-1
reflector 2021.11-5
repoctl 0.21-3
rhash 1.4.3-1
rp-pppoe 3.15-2
rsync 3.2.7-1
s3fs-fuse 1.91-1
scanner-support 1-4
screen 4.9.0-1
sddm 0.19.0-9
sddm-kcm 5.26.2-1
sdparm 1.12-1
sed 4.8-1
semver 7.3.8-1
sg3_utils 1.47-1
signon-kwallet-extension 22.08.3-1
siji-git r23.c691f20-2
smartmontools 7.3-1
smbclient 4.17.2-1
sof-firmware 2.2.2-1
solid 5.99.0-1
spectacle 22.08.3-1
spice-vdagent 0.22.1-2
squashfs-tools 4.5.1-2
sshfs 3.7.3-1
stow 2.3.1-3
sudo 1.9.12-1
svgpart 22.08.3-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
sysprof 3.46.0-1
systemd-kcm 1.2.1-5
systemd-manager-git 1.0.0.r12.g4efeb47-1
systemd-resolvconf 251.7-1
systemdgenie 0.99.0-4
systemsettings 5.26.2-1
tcpdump 4.99.1-1
tela-purple-icon-theme-git 2022.03.07.r148.g18c0f369-1
terminus-font 4.49.1-2
testdisk 7.1-4
tex-gyre-fonts 2.501-2
texinfo 6.8-2
tldr 3.1.0-2
tmux 3.3_a-2
tokei 12.1.2-1
topgrade 10.0.1-2
tpm2-tss 3.2.0-1
traceroute 2.1.0-5
tree 2.0.4-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-meslo-nerd-font-powerlevel10k 1.000-3
ttf-roboto 2.138-4
ttf-unifont 15.0.01-1
tumbler 4.16.1-3
udftools 2.3-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unace 2.5-11
unrar 1:6.2.1-1
unzip 6.0-19
update-grub 0.0.1-7
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbutils 014-2
vala 0.56.3-1
vi 1:070224-6
vim 9.0.0814-1
visual-studio-code-bin 1.72.2-1
vnstat 2.10-1
vpnc 1:0.5.3.r506.r204-1
w3m 0.5.3.git20220409_1-1
wget 1.21.3-1
which 2.21-5
wireguard-tools 1.0.20210914-1
wireless-regdb 2022.08.12-1
wireless_tools 30.pre9-3
wireplumber 0.4.12-1
wmctrl 1.07-6
wpa_supplicant 2:2.10-5
wvdial 1.61-8
xdg-desktop-portal-kde 5.26.2-1
xdg-user-dirs 0.18-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xero-fix-scripts 0.6-3
xero-kde-config 22.09-15
xerolinux-mirrorlist 0.1.2-2
xerowelcome 1.0.8-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
