kpty 6.4.0-1
kquickcharts 6.4.0-1
krb5 1.21.3-1
krecorder 24.05.2-1
krunner 6.4.0-1
ksanecore 24.05.2-1
kscreen 6.1.4-1
kscreenlocker 6.1.4-1
kservice 6.4.0-1
kservice5 5.116.0-1
ksmtp 24.05.2-1
ksshaskpass 6.1.4-1
kstatusnotifieritem 6.4.0-1
ksvg 6.4.0-1
ksystemlog 24.05.2-1
ksystemstats 6.1.4-1
ktextaddons 1.5.4-1
ktexteditor 6.4.0-1
ktexttemplate 6.4.0-1
ktextwidgets 6.4.0-1
ktextwidgets5 5.116.0-1
kunitconversion 6.4.0-1
kuserfeedback 6.4.0-1
kvantum 1.1.2-1
kwallet 6.4.0-1
kwallet5 5.116.0-1
kwayland 6.1.4-1
kwayland5 5.116.0-1
kweather 24.05.2-1
kweathercore 0.8.0-2
kwidgetsaddons 6.4.1-1
kwidgetsaddons5 5.116.0-1
kwin 6.1.4-1
kwindowsystem 6.4.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.4.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
layer-shell-qt 6.1.4-1
lazydocker-bin 0.23.3-1
lcms2 2.16-1
ldb 2:2.9.1-2
less 1:661-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.9.1-1
lib32-e2fsprogs 1.47.1-1
lib32-expat 2.6.2-1
lib32-gcc-libs 14.2.1+r32+geccf707e5ce-1
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-icu 75.1-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.70-1
lib32-libdrm 2.4.122-1
lib32-libelf 0.191-1
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.50-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.8-1
lib32-libnghttp2 1.62.1-1
lib32-libnghttp3 1.4.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.0-1
lib32-libtirpc 1.3.5-1
lib32-libunistring 1.2-1
lib32-libva-mesa-driver 1:24.1.5-2
lib32-libx11 1.8.10-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.36-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.13.3-1
lib32-libxshmfence 1.3.2-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 18.1.8-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:24.1.5-2
lib32-mesa-vdpau 1:24.1.5-2
lib32-ncurses 6.5-1
lib32-nvidia-utils 555.58.02-1
lib32-opencl-nvidia 555.58.02-1
lib32-openssl 1:3.3.1-1
lib32-pam 1.6.1-1
lib32-systemd 256.4-1
lib32-vulkan-icd-loader 1.3.279-1
lib32-vulkan-intel 1:24.1.5-2
lib32-wayland 1.23.0-1
lib32-xcb-util-keysyms 0.4.1-1
lib32-xz 5.6.2-1
lib32-zlib 1.3.1-1
lib32-zstd 1.5.6-1
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libadwaita 1:1.5.3-1
libakonadi 24.05.2-1
libarchive 3.7.4-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-1
libb2 0.98.1-3
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
